Aspect Ratio,Audio Jack,Chipset,Internal Memory,RAM,Resolution,Bezel-less display,Colours,FM Radio,Fingerprint Sensor Position,Flash,GPS,NFC,Other Sensors,Physical Aperture,Quick Charging,Screen Protection,Sensor,User Replaceable,VoLTE,Graphics,Image Resolution,Network Support,Optical Image Stabilisation,Pixel Density,Processor,Screen Size,Screen to Body Ratio (calculated),Settings,Shooting Modes,USB Connectivity,Height,Width,Review Count,Rating Count,Bluetooth,Touch Screen,Thickness,Weight,Wi-Fi Features,Capacity
6,0,4,7,3,3,0,4,1,4,1,2,0,5,2,1,0,4,0,1,0,3,3,2,2,0,6.26,80.68,1,3,1,157.9,76.4,17138,172274,4,2,8.2,182.0,2,4000
6,0,4,4,2,5,0,3,1,4,1,1,0,5,3,0,1,8,0,1,0,4,3,2,1,0,6.2,80.85,1,2,1,156.2,75.6,38252,339447,3,2,8.2,168.0,0,4230
5,0,3,4,2,6,0,3,1,4,1,2,0,3,2,0,1,4,0,1,2,4,3,1,2,0,6.3,83.68,1,2,1,157.0,74.0,1151,1149,3,2,8.0,168.0,0,3500
1,0,5,7,3,6,0,3,1,5,1,2,0,4,2,0,6,7,0,1,2,6,3,1,2,0,6.0,74.78,1,2,1,159.8,76.8,779,6026,4,2,7.5,169.0,2,3300
5,0,1,7,3,1,0,3,1,4,1,2,0,5,2,0,6,8,0,1,2,6,3,2,2,0,6.5,84.23,1,2,1,160.4,76.6,5177,5175,3,2,7.8,175.0,0,3750
3,0,4,2,1,4,0,1,1,2,1,0,0,1,2,0,6,8,0,0,3,6,4,2,0,1,5.339,71.0,1,2,1,149.0,73.0,809,4019,3,2,7.7,149.0,0,3150
5,0,4,7,4,6,0,3,1,3,1,2,0,5,2,1,1,8,0,1,0,3,3,1,2,0,6.41,84.98,1,2,1,157.9,75.0,4178,19350,4,2,7.9,156.0,2,3400
3,0,3,2,1,4,0,4,1,2,1,2,0,4,3,0,6,8,0,1,4,4,3,2,1,1,5.45,72.68,1,1,1,147.5,71.5,5543,7525,3,2,8.3,145.0,2,3000
6,0,4,4,2,4,0,4,1,4,1,2,0,5,3,0,6,7,0,1,0,3,3,2,2,0,5.84,79.24,1,3,1,149.3,71.6,15649,15725,3,2,8.7,178.0,2,4000
6,0,4,2,1,5,0,2,1,2,1,1,0,4,3,0,6,3,0,1,0,4,3,2,1,0,6.2,80.85,1,2,1,156.2,75.6,905,4414,3,2,8.2,168.0,0,4230
2,0,4,7,4,3,0,3,1,4,1,2,0,5,2,1,0,7,0,1,0,3,3,2,2,0,6.18,82.2,1,3,0,155.5,75.2,16756,111795,4,2,8.8,182.0,2,4000
5,2,4,1,4,1,0,1,0,3,1,2,1,5,2,1,4,4,0,1,0,5,3,3,2,0,6.41,85.43,1,2,0,157.5,74.8,7410,7409,4,2,8.2,185.0,0,3700
3,2,4,7,3,3,0,5,1,4,1,2,0,5,3,1,3,4,0,1,0,3,3,2,2,0,5.99,77.38,1,3,0,158.7,75.4,7727,9283,4,2,7.3,168.0,2,3010
